,name,subway,시도,시군구,읍면동,coord,sub_count,sub_list,bus_count,bus_list
1627,대농빌라앞,0,서울특별시,성북구,월곡2동,"(127.0433257276, 37.6018387668)",1,"[(127.0414156, 37.6017485)]",6,"[(127.0433257276, 37.6018387668), (127.0427380619, 37.6030780961), (127.0423605951, 37.6043556295), (127.0411526517, 37.5999329183), (127.0426687904, 37.6041718432), (127.0418506531, 37.6022599744)]"
1628,대동슈퍼,0,서울특별시,은평구,녹번동,"(126.93996935203334, 37.6098323982)",0,[],3,"[(126.93996935203334, 37.6098323982), (126.9396225651, 37.6106865221), (126.9397679205, 37.6105907687)]"
1629,대동아파트,0,서울특별시,노원구,공릉1동,"(127.0720452524, 37.6204770357)",0,[],10,"[(127.0711758892, 37.6229673866), (127.07305536805, 37.61847570195), (127.0724108995, 37.6221526541), (127.0720452524, 37.6204770357), (127.0711133705, 37.6229426601), (127.07171131106666, 37.62131747286667), (127.06925880025, 37.6215292993), (127.0749267537, 37.6194428888), (127.0750642078, 37.6195599545), (127.06988689275, 37.61969301795)]"
1630,대동아파트앞,0,서울특별시,광진구,자양4동,"(127.0689378886, 37.5364358712)",0,[],6,"[(127.0701002081, 37.53882717295), (127.0671217955, 37.5356877192), (127.0689378886, 37.5364358712), (127.0689180755, 37.5361060486), (127.0687874956, 37.53479932613333), (127.07131037685, 37.5345484042)]"
1631,대동초등학교,0,서울특별시,영등포구,대림2동,"(126.89956610784, 37.49401120612)",0,[],2,"[(126.89956610784, 37.49401120612), (126.896927535, 37.49294214145)]"
1632,대동택시,0,서울특별시,노원구,상계3.4동,"(127.07085511, 37.6658964588)",0,[],7,"[(127.07085511, 37.6658964588), (127.0716128033, 37.6653134441), (127.0695267826, 37.6665939228), (127.0727771208, 37.6643908661), (127.0689215128, 37.6652636908), (127.0682392943, 37.6654303271), (127.0691798845, 37.6659124993)]"
1633,대룡빌딩,0,서울특별시,마포구,연남동,"(126.9222416728, 37.5637198377)",0,[],9,"[(126.92016375425, 37.5643687806), (126.9222416728, 37.5637198377), (126.9242978526, 37.5621764791), (126.924970836, 37.5640020603), (126.9242512549, 37.5646154921), (126.9230394761, 37.5641222688), (126.9219101261, 37.5622600135), (126.92096340283332, 37.563396754533336), (126.9254138677, 37.5633477331)]"
1634,대륭테크노2차,0,서울특별시,금천구,가산동,"(126.8844039634, 37.4689017645)",0,[],6,"[(126.8861813586, 37.469306905), (126.8844039634, 37.4689017645), (126.8847643827, 37.4689027952), (126.8835670323, 37.4698063978), (126.8864497981, 37.4691350062), (126.8868706784, 37.4684676987)]"
1635,대륭테크노2차.12차,0,서울특별시,금천구,가산동,"(126.8847643827, 37.4689027952)",0,[],6,"[(126.8861813586, 37.469306905), (126.8844039634, 37.4689017645), (126.8847643827, 37.4689027952), (126.8835670323, 37.4698063978), (126.8864497981, 37.4691350062), (126.8868706784, 37.4684676987)]"
1636,대륭테크노타운,0,서울특별시,금천구,가산동,"(126.8835670323, 37.4698063978)",0,[],5,"[(126.8861813586, 37.469306905), (126.8844039634, 37.4689017645), (126.8847643827, 37.4689027952), (126.8835670323, 37.4698063978), (126.8864497981, 37.4691350062)]"
1637,대륭테크노타운17차,0,서울특별시,금천구,가산동,"(126.8864497981, 37.4691350062)",0,[],9,"[(126.8875039467, 37.4713299305), (126.8861813586, 37.469306905), (126.8844039634, 37.4689017645), (126.8847643827, 37.4689027952), (126.8835670323, 37.4698063978), (126.8864497981, 37.4691350062), (126.887816732, 37.47048908535), (126.8891525785, 37.47046287965), (126.8868706784, 37.4684676987)]"
1638,대륭테크노타운19차,0,서울특별시,금천구,가산동,"(126.8815663822, 37.4743272591)",0,[],4,"[(126.8815663822, 37.4743272591), (126.8807721202, 37.4761162503), (126.8823264756, 37.4724971617), (126.8809373802, 37.4754885215)]"
1639,대륭테크노타운8차,0,서울특별시,금천구,가산동,"(126.8768729374, 37.4848721354)",0,[],17,"[(126.8798394629, 37.4835628112), (126.8752357351, 37.4852999247), (126.8751749959, 37.4852875766), (126.8768729374, 37.4848721354), (126.8766480399, 37.4850859266), (126.8789367052, 37.48328080005), (126.8767921557, 37.4865890336), (126.8772898175, 37.4839335489), (126.8795055597, 37.48489007), (126.8793106619, 37.4856016324), (126.8760683419, 37.4856214002), (126.876035628, 37.4854997922), (126.8759600492, 37.4855940625), (126.8765882629, 37.4859789635), (126.8764676081, 37.4854833365), (126.875436, 37.485192), (126.875305, 37.485183)]"
1640,대림.수정아파트,0,서울특별시,양천구,신정3동,"(126.84241332485, 37.51232348395)",0,[],6,"[(126.84241332485, 37.51232348395), (126.8407320687, 37.5100826868), (126.84144696415, 37.51447734855), (126.8423841633, 37.51030847895), (126.8430274975, 37.510873823), (126.8429667177, 37.5111185666)]"
1641,대림1.2차아파트,0,서울특별시,구로구,신도림동,"(126.8781617261, 37.506412624)",0,[],6,"[(126.87864197113332, 37.5039272434), (126.87737485725, 37.5050562076), (126.8781617261, 37.506412624), (126.8785464687, 37.5068391082), (126.879719901, 37.5076037912), (126.8768968481, 37.5053555376)]"
1642,대림1동새마을금고,0,서울특별시,영등포구,대림1동,"(126.9042255569, 37.493236718800006)",0,[],4,"[(126.9042255569, 37.493236718800006), (126.9063241111, 37.4950761471), (126.90314914485, 37.49224959975), (126.9033017495, 37.49077812365)]"
1643,대림1동주민센터,0,서울특별시,영등포구,대림1동,"(126.9063241111, 37.4950761471)",0,[],5,"[(126.9042255569, 37.493236718800006), (126.9063241111, 37.4950761471), (126.9083105573, 37.4963019779), (126.9088153965, 37.4948015017), (126.90732599995, 37.49597266555)]"
1644,대림3동사거리.명지춘혜병원,0,서울특별시,영등포구,대림3동,"(126.897562, 37.500515)",0,[],6,"[(126.897562, 37.500515), (126.8984627212, 37.5008162954), (126.8962184504, 37.4990294947), (126.8970936784, 37.5016149475), (126.8979079829, 37.49946656115), (126.8993399535, 37.5009923564)]"
1645,대림3동주민센터,0,서울특별시,영등포구,대림3동,"(126.898581134725, 37.497927284225)",0,[],4,"[(126.9008987884, 37.4997841761), (126.898581134725, 37.497927284225), (126.8962184504, 37.4990294947), (126.8979079829, 37.49946656115)]"
1646,대림3차아파트,0,서울특별시,구로구,신도림동,"(126.8785464687, 37.5068391082)",0,[],6,"[(126.87737485725, 37.5050562076), (126.8781617261, 37.506412624), (126.8785464687, 37.5068391082), (126.88135749535, 37.50740943995), (126.879719901, 37.5076037912), (126.8768968481, 37.5053555376)]"
1647,대림5차아파트.신도림주민센터,0,서울특별시,구로구,신도림동,"(126.88135749535, 37.50740943995)",0,[],7,"[(126.8785464687, 37.5068391082), (126.88135749535, 37.50740943995), (126.879719901, 37.5076037912), (126.8831398812, 37.506240152450005), (126.8823114921, 37.5099212141), (126.8817537841, 37.5090063646), (126.8835723924, 37.50570084645)]"
1648,대림5차아파트702동,0,서울특별시,구로구,신도림동,"(126.879719901, 37.5076037912)",0,[],5,"[(126.8781617261, 37.506412624), (126.8785464687, 37.5068391082), (126.88135749535, 37.50740943995), (126.879719901, 37.5076037912), (126.8817537841, 37.5090063646)]"
1649,대림6차태영프라자,0,서울특별시,구로구,신도림동,"(126.8831398812, 37.506240152450005)",0,[],5,"[(126.88241659633331, 37.5038382663), (126.88135749535, 37.50740943995), (126.8831398812, 37.506240152450005), (126.8835723924, 37.50570084645), (126.8846912671, 37.50799446303333)]"
1650,대림APT정문,0,서울특별시,성북구,길음1동,"(127.0216692308, 37.6111358988)",0,[],8,"[(127.0198021041, 37.6099491518), (127.0216692308, 37.6111358988), (127.0199167441, 37.610864269), (127.0238893314, 37.6118308751), (127.0226541291, 37.61139247), (127.0206718613, 37.608688594), (127.02223471485, 37.61120329515), (127.0220461, 37.6085948)]"
1651,대림e편한세상1단지,0,서울특별시,은평구,구산동,"(126.9063228827, 37.6122333302)",0,[],5,"[(126.9063186384, 37.6097757508), (126.9063228827, 37.6122333302), (126.90656114875, 37.6128023874), (126.9082815303, 37.61365910405), (126.90649171205, 37.6133815859)]"
1652,대림e편한세상2단지,0,서울특별시,은평구,구산동,"(126.90656114875, 37.6128023874)",0,[],5,"[(126.9063228827, 37.6122333302), (126.90656114875, 37.6128023874), (126.90926168405, 37.61433800205), (126.9082815303, 37.61365910405), (126.90649171205, 37.6133815859)]"
