역명,승차총승객수,x,y
강남을지병원,1307916.0,37.51847228605,127.02862038075
강남의림한방병원,113237.0,37.4908472686,126.9831343855
강남중학교,1124726.0,37.50380795,126.9218342651
강남중학교앞,122262.0,37.5035625656,126.9217278782
강남한양수자인아파트,395916.0,37.47810055435,127.1136942963
강남현대힐스테이트에코,463864.0,37.4751931729,127.1048921671
강동경희대병원.명일동이마트,522414.0,37.5545561392,127.1565513496
강동고등학교,102339.0,37.550354286399994,127.16070262235
강동공영차고지,991478.0,37.564160037566666,127.17409602796666
강동구청,469714.0,37.53054802443333,127.12226430860001
강동구청역1번출구.영파여고,908905.0,37.5319307782,127.1211475276
강동구청역농협중앙회,456477.0,37.5290871567,127.1198423553
강동노인종합복지관,59376.0,37.5518268468,127.1530710959
강동농협,771801.0,37.545901351350004,127.13817879098333
강동롯데캐슬퍼스트아파트,268605.0,37.556602,127.144571
강동보건소,384227.0,37.5287105966,127.12555030979999
강동성심병원(동신중학교),335135.0,37.53741684625,127.13532256705
강동아트센터.강동경희대병원,829305.0,37.5523355923,127.1563022657
강동아트센터.강동경희대병원후문,417440.0,37.551003226,127.1563304485
강동역,1466262.0,37.535895613950004,127.13218706545001
강동역(동신중학교),369598.0,37.5362118233,127.1307893247
강동역1번출구.동신중학교,684768.0,37.5360328892,127.1321018501
강동자이.프라자아파트,348965.0,37.5367581698,127.1488233069
강동주유소,429428.0,37.541061620899995,127.1399158618
강동첨단업무단지.상일여고입구,1112301.0,37.54901337285,127.17307224199999
강명초등학교,182811.0,37.5532493699,127.1723503347
강명초등학교.고덕리엔파크3단지,77651.0,37.55391303415,127.17336217799999
강변역.테크노마트앞,1339137.0,37.536318696349994,127.09473911925
강변역A,1148969.0,37.53603493645,127.09380307935
강변한신코아,104336.0,37.537414514,126.9437826565
