,gu,dong,code,income_level,pop_density,company
220,마포구,성산2동,1144073000,7.0,20063,1757.0
221,마포구,상암동,1144074000,8.0,3915,2531.0
222,양천구,목1동,1147051000,9.0,22818,2872.0
223,양천구,목2동,1147052000,7.0,30560,1196.0
224,양천구,목3동,1147053000,7.0,43575,1282.0
225,양천구,목4동,1147054000,7.0,47209,1347.0
226,양천구,목5동,1147055000,9.0,23728,1565.0
227,양천구,신월1동,1147056000,5.0,33497,1765.0
228,양천구,신월2동,1147057000,6.0,36272,1175.0
229,양천구,신월3동,1147058000,5.0,19217,958.0
230,양천구,신월4동,1147059000,6.0,36588,1166.0
231,양천구,신월5동,1147060000,6.0,22565,994.0
232,양천구,신월6동,1147061000,6.0,16134,1336.0
233,양천구,신월7동,1147061100,5.0,18153,1324.0
234,양천구,신정1동,1147062000,9.0,30896,1175.0
235,양천구,신정2동,1147063000,8.0,39779,1091.0
236,양천구,신정3동,1147064000,7.0,17703,1814.0
237,양천구,신정4동,1147065000,6.0,35229,3090.0
238,양천구,신정6동,1147067000,9.0,26358,714.0
239,양천구,신정7동,1147068000,8.0,25540,1030.0
240,강서구,염창동,1150051000,8.0,24471,2170.0
241,강서구,등촌1동,1150052000,7.0,40198,1812.0
242,강서구,등촌2동,1150053000,7.0,23770,737.0
243,강서구,등촌3동,1150053500,7.0,41147,2533.0
244,강서구,화곡1동,1150054000,6.0,48716,3048.0
245,강서구,화곡2동,1150055000,6.0,41462,855.0
246,강서구,화곡3동,1150056000,7.0,44529,1222.0
247,강서구,화곡4동,1150057000,6.0,26883,1469.0
248,강서구,화곡본동,1150059000,6.0,32359,1389.0
249,강서구,화곡6동,1150059100,7.0,22427,1749.0
250,강서구,화곡8동,1150059300,6.0,50017,1275.0
251,강서구,가양1동,1150060300,8.0,7267,5790.0
252,강서구,가양2동,1150060400,7.0,15140,633.0
253,강서구,가양3동,1150060500,7.0,16363,904.0
254,강서구,발산1동,1150061100,7.0,13009,3375.0
255,강서구,우장산동,1150061500,8.0,32947,1664.0
256,강서구,공항동,1150062000,6.0,2600,2040.0
257,강서구,방화1동,1150063000,7.0,43912,2621.0
258,강서구,방화2동,1150064000,6.0,3752,3279.0
259,강서구,방화3동,1150064100,7.0,10280,893.0
260,구로구,신도림동,1153051000,8.0,25298,2784.0
261,구로구,구로1동,1153052000,7.0,21664,728.0
262,구로구,구로2동,1153053000,6.0,20005,7653.0
263,구로구,구로3동,1153054000,7.0,25775,7883.0
264,구로구,구로4동,1153055000,6.0,56998,2133.0
265,구로구,구로5동,1153056000,7.0,32452,4477.0
266,구로구,가리봉동,1153059500,5.0,38125,993.0
267,구로구,고척1동,1153072000,7.0,20847,2541.0
268,구로구,고척2동,1153073000,7.0,28382,1460.0
269,구로구,개봉1동,1153074000,6.0,25828,1698.0
270,구로구,개봉2동,1153075000,7.0,41295,1212.0
271,구로구,개봉3동,1153076000,6.0,27167,1020.0
272,구로구,오류1동,1153077000,6.0,39483,1187.0
273,구로구,오류2동,1153078000,6.0,11630,1729.0
274,구로구,수궁동,1153079000,6.0,9322,1258.0
275,금천구,가산동,1154551000,6.0,9704,16661.0
276,금천구,독산1동,1154561000,7.0,20976,4037.0
277,금천구,독산2동,1154562000,5.0,35675,1154.0
278,금천구,독산3동,1154563000,6.0,32517,2087.0
279,금천구,독산4동,1154564000,5.0,30893,994.0
280,금천구,시흥1동,1154567000,6.0,21465,3078.0
281,금천구,시흥2동,1154568000,7.0,17983,651.0
282,금천구,시흥3동,1154569000,6.0,10770,3167.0
283,금천구,시흥4동,1154570000,6.0,25536,853.0
284,금천구,시흥5동,1154571000,6.0,15016,1132.0
285,영등포구,영등포본동,1156051500,7.0,24326,1410.0
286,영등포구,영등포동,1156053500,8.0,21560,5883.0
287,영등포구,여의동,1156054000,9.0,4119,8132.0
288,영등포구,당산1동,1156055000,7.0,28699,3107.0
289,영등포구,당산2동,1156056000,8.0,23435,2289.0
290,영등포구,도림동,1156058500,7.0,24216,1021.0
291,영등포구,문래동,1156060500,8.0,21452,5307.0
292,영등포구,양평1동,1156061000,7.0,20753,3068.0
293,영등포구,양평2동,1156062000,8.0,7601,2182.0
294,영등포구,신길1동,1156063000,6.0,29924,1091.0
295,영등포구,신길3동,1156065000,7.0,36013,1369.0
296,영등포구,신길4동,1156066000,6.0,28529,433.0
297,영등포구,신길5동,1156067000,6.0,22702,526.0
298,영등포구,신길6동,1156068000,7.0,28579,1228.0
299,영등포구,신길7동,1156069000,8.0,26680,620.0
300,영등포구,대림1동,1156070000,6.0,33331,1064.0
301,영등포구,대림2동,1156071000,6.0,38855,1378.0
302,영등포구,대림3동,1156072000,7.0,30145,2262.0
303,동작구,노량진1동,1159051000,8.0,20609,1856.0
304,동작구,노량진2동,1159052000,6.0,21545,1706.0
305,동작구,상도1동,1159053000,8.0,31889,1765.0
306,동작구,상도2동,1159054000,8.0,29867,1398.0
307,동작구,상도3동,1159055000,6.0,43402,1011.0
308,동작구,상도4동,1159056000,6.0,39857,1008.0
309,동작구,흑석동,1159060500,8.0,21161,1557.0
310,동작구,사당1동,1159062000,7.0,30413,1790.0
311,동작구,사당2동,1159063000,8.0,10287,1633.0
312,동작구,사당3동,1159064000,8.0,28298,936.0
313,동작구,사당4동,1159065000,7.0,39266,659.0
314,동작구,사당5동,1159065100,7.0,22607,519.0
315,동작구,대방동,1159066000,7.0,25921,1693.0
316,동작구,신대방1동,1159067000,8.0,42902,1035.0
317,동작구,신대방2동,1159068000,7.0,20116,1227.0
318,관악구,보라매동,1162052500,6.0,34863,1367.0
319,관악구,청림동,1162054500,8.0,54287,451.0
320,관악구,성현동,1162056500,7.0,45846,821.0
321,관악구,행운동,1162057500,7.0,41751,1372.0
322,관악구,낙성대동,1162058500,7.0,7763,1296.0
323,관악구,청룡동,1162059500,6.0,29186,1855.0
324,관악구,은천동,1162060500,7.0,45304,1562.0
325,관악구,중앙동,1162061500,6.0,40756,965.0
326,관악구,인헌동,1162062500,6.0,25081,1053.0
327,관악구,남현동,1162063000,7.0,5804,872.0
328,관악구,서원동,1162064500,6.0,37028,1279.0
329,관악구,신원동,1162065500,6.0,35895,814.0
330,관악구,서림동,1162066500,6.0,24585,1115.0
331,관악구,신사동,1162068500,6.0,40563,1359.0
332,관악구,신림동,1162069500,6.0,41713,1687.0
333,관악구,난향동,1162071500,7.0,20493,397.0
334,관악구,조원동,1162072500,6.0,29222,2150.0
335,관악구,대학동,1162073500,6.0,2947,1636.0
336,관악구,삼성동,1162074500,6.0,9483,1010.0
337,관악구,미성동,1162076500,6.0,23733,1490.0
338,관악구,난곡동,1162077500,5.0,30117,954.0
339,서초구,서초1동,1165051000,9.0,15196,3811.0
340,서초구,서초2동,1165052000,9.0,15191,5072.0
341,서초구,서초3동,1165053000,9.0,10563,7725.0
342,서초구,서초4동,1165053100,9.0,36350,3012.0
343,서초구,잠원동,1165054000,9.0,19961,2199.0
344,서초구,반포본동,1165055000,9.0,12069,665.0
345,서초구,반포1동,1165056000,9.0,33237,1737.0
346,서초구,반포2동,1165057000,9.0,12137,306.0
347,서초구,반포3동,1165058000,9.0,15930,964.0
348,서초구,반포4동,1165058100,9.0,14148,3291.0
349,서초구,방배본동,1165059000,9.0,32216,1623.0
350,서초구,방배1동,1165060000,8.0,25034,1907.0
351,서초구,방배2동,1165061000,8.0,10859,1852.0
352,서초구,방배3동,1165062000,8.0,9356,1186.0
353,서초구,방배4동,1165062100,8.0,24574,2149.0
354,서초구,양재1동,1165065100,8.0,7976,3616.0
355,서초구,양재2동,1165065200,7.0,3056,4989.0
356,서초구,내곡동,1165066000,7.0,1457,836.0
357,강남구,신사동,1168051000,9.0,9284,4140.0
358,강남구,논현1동,1168052100,7.0,19034,5309.0
359,강남구,논현2동,1168053100,8.0,14901,5596.0
360,강남구,압구정동,1168054500,9.0,10953,3919.0
361,강남구,청담동,1168056500,9.0,12927,4212.0
362,강남구,삼성1동,1168058000,9.0,7691,4079.0
363,강남구,삼성2동,1168059000,9.0,24737,3661.0
364,강남구,대치1동,1168060000,10.0,32028,1068.0
365,강남구,대치2동,1168061000,9.0,19324,3897.0
366,강남구,대치4동,1168063000,8.0,28523,3677.0
367,강남구,역삼1동,1168064000,8.0,15746,15451.0
368,강남구,역삼2동,1168065000,9.0,32466,3775.0
369,강남구,도곡1동,1168065500,9.0,22182,1596.0
370,강남구,도곡2동,1168065600,9.0,33762,1828.0
371,강남구,개포1동,1168066000,8.0,5449,169.0
372,강남구,개포2동,1168067000,9.0,8784,737.0
373,강남구,개포4동,1168069000,7.0,12352,1884.0
374,강남구,세곡동,1168070000,8.0,7086,1338.0
375,강남구,일원본동,1168072000,9.0,9457,500.0
376,강남구,일원1동,1168073000,7.0,17867,2123.0
377,강남구,일원2동,1168074000,8.0,14645,564.0
378,강남구,수서동,1168075000,8.0,11143,1504.0
379,송파구,풍납1동,1171051000,7.0,20153,730.0
380,송파구,풍납2동,1171052000,8.0,15904,1151.0
381,송파구,거여1동,1171053100,6.0,25924,826.0
382,송파구,거여2동,1171053200,7.0,31926,841.0
383,송파구,마천1동,1171054000,6.0,35800,994.0
384,송파구,마천2동,1171055000,5.0,22744,1350.0
385,송파구,방이1동,1171056100,8.0,33048,1317.0
386,송파구,방이2동,1171056200,7.0,32555,3125.0
387,송파구,오륜동,1171056600,9.0,5951,496.0
388,송파구,오금동,1171057000,7.0,24889,2397.0
389,송파구,송파1동,1171058000,7.0,32944,2509.0
390,송파구,송파2동,1171059000,8.0,39362,836.0
391,송파구,석촌동,1171060000,7.0,36115,2666.0
392,송파구,삼전동,1171061000,6.0,34329,2028.0
393,송파구,가락본동,1171062000,8.0,24669,3489.0
394,송파구,가락1동,1171063100,8.0,20684,2988.0
395,송파구,가락2동,1171063200,8.0,35333,1901.0
396,송파구,문정1동,1171064100,8.0,38038,1295.0
397,송파구,문정2동,1171064200,9.0,13621,7131.0
398,송파구,장지동,1171064600,7.0,24128,1337.0
399,송파구,위례동,1171064700,5.0,11096,667.0
400,송파구,잠실본동,1171065000,7.0,31519,3042.0
401,송파구,잠실2동,1171067000,9.0,16885,777.0
402,송파구,잠실3동,1171068000,9.0,24187,1543.0
403,송파구,잠실4동,1171069000,9.0,14256,383.0
404,송파구,잠실6동,1171071000,9.0,6251,2629.0
405,송파구,잠실7동,1171072000,9.0,16985,196.0
406,강동구,강일동,1174051500,7.0,11474,962.0
407,강동구,상일동,1174052000,7.0,4065,918.0
408,강동구,명일1동,1174053000,8.0,43866,1739.0
409,강동구,명일2동,1174054000,8.0,18328,987.0
410,강동구,고덕1동,1174055000,8.0,15653,732.0
411,강동구,고덕2동,1174056000,6.0,9624,677.0
412,강동구,암사1동,1174057000,6.0,35974,1918.0
413,강동구,암사2동,1174058000,8.0,12520,838.0
414,강동구,암사3동,1174059000,8.0,7447,576.0
415,강동구,천호1동,1174060000,6.0,40000,1534.0
416,강동구,천호2동,1174061000,6.0,22869,3439.0
417,강동구,천호3동,1174062000,7.0,35438,1830.0
418,강동구,성내1동,1174064000,7.0,35450,2048.0
419,강동구,성내2동,1174065000,6.0,37591,1836.0
420,강동구,성내3동,1174066000,7.0,33692,2439.0
421,강동구,길동,1174068500,7.0,21367,5037.0
422,강동구,둔촌1동,1174069000,7.0,308,17.0
423,강동구,둔촌2동,1174070000,7.0,28318,1553.0
