,gu,dong,code,income_level,pop_density,address,x,y
189,은평구,증산동,1138064000,7,19965,서울시 은평구 증산동,37.5841679,126.9059643
190,은평구,수색동,1138065000,7,6940,서울시 은평구 수색동,37.5861575,126.8933245
191,은평구,진관동,1138069000,8,5031,서울시 은평구 진관동,37.6396512,126.9378404
192,서대문구,천연동,1141052000,8,19282,서울시 서대문구 천연동,37.5679249,126.959429
193,서대문구,북아현동,1141055500,8,38098,서울시 서대문구 북아현동,37.56241680000001,126.9543856
194,서대문구,충현동,1141056500,7,16172,서울시 서대문구 충현동,37.5638038,126.9593339
195,서대문구,신촌동,1141058500,7,9267,서울시 서대문구 신촌동,37.5650797,126.9399549
196,서대문구,연희동,1141061500,7,13554,서울시 서대문구 연희동,37.5719815,126.9328285
197,서대문구,홍제1동,1141062000,7,20323,서울시 서대문구 홍제1동,37.5876705,126.9449444
198,서대문구,홍제3동,1141064000,7,20272,서울시 서대문구 홍제3동,37.5928868,126.9489057
199,서대문구,홍제2동,1141065500,8,13876,서울시 서대문구 홍제2동,37.5860597,126.9493607
200,서대문구,홍은1동,1141066000,7,14495,서울시 서대문구 홍은1동,37.5988376,126.9471453
201,서대문구,홍은2동,1141068500,6,13783,서울시 서대문구 홍은2동,37.586809,126.9323952
202,서대문구,남가좌1동,1141069000,8,33173,서울시 서대문구 남가좌1동,37.5740091,126.9198012
203,서대문구,남가좌2동,1141070000,7,33697,서울시 서대문구 남가좌2동,37.5783935,126.9238634
204,서대문구,북가좌1동,1141071000,8,34836,서울시 서대문구 북가좌1동,37.574273,126.9101854
205,서대문구,북가좌2동,1141072000,6,40250,서울시 서대문구 북가좌2동,37.581292,126.911326
206,마포구,아현동,1144055500,9,33366,서울시 마포구 아현동,37.5544849,126.9562273
207,마포구,공덕동,1144056500,8,40108,서울시 마포구 공덕동,37.54811249999999,126.9549965
208,마포구,도화동,1144058500,8,36442,서울시 마포구 도화동,37.5389594,126.9491776
209,마포구,용강동,1144059000,8,26715,서울시 마포구 용강동,37.542285,126.9430588
210,마포구,대흥동,1144060000,7,15426,서울시 마포구 대흥동,37.5497599,126.9431416
211,마포구,염리동,1144061000,7,31363,서울시 마포구 염리동,37.5491616,126.9472617
212,마포구,신수동,1144063000,8,30612,서울시 마포구 신수동,37.548572,126.9368133
213,마포구,서강동,1144065500,8,18043,서울시 마포구 서강동,37.5486093,126.9262631
214,마포구,서교동,1144066000,7,15756,서울시 마포구 서교동,37.55378109999999,126.9186768
215,마포구,합정동,1144068000,7,11135,서울시 마포구 합정동,37.5483014,126.9111751
216,마포구,망원1동,1144069000,6,19342,서울시 마포구 망원1동,37.5555904,126.9055602
217,마포구,망원2동,1144070000,7,28934,서울시 마포구 망원2동,37.560312,126.9022827
218,마포구,연남동,1144071000,7,26489,서울시 마포구 연남동,37.5627439,126.9214088
219,마포구,성산1동,1144072000,6,25205,서울시 마포구 성산1동,37.5633395,126.9078931
220,마포구,성산2동,1144073000,7,20063,서울시 마포구 성산2동,37.5685712,126.9089833
221,마포구,상암동,1144074000,8,3915,서울시 마포구 상암동,37.5707485,126.8798744
222,양천구,목1동,1147051000,9,22818,서울시 양천구 목1동,37.5270981,126.8738365
223,양천구,목2동,1147052000,7,30560,서울시 양천구 목2동,37.5433544,126.8738358
224,양천구,목3동,1147053000,7,43575,서울시 양천구 목3동,37.5448276,126.8659699
225,양천구,목4동,1147054000,7,47209,서울시 양천구 목4동,37.5358976,126.8679926
226,양천구,목5동,1147055000,9,23728,서울시 양천구 목5동,37.5361674,126.8797993
227,양천구,신월1동,1147056000,5,33497,서울시 양천구 신월1동,37.531678,126.8343716
228,양천구,신월2동,1147057000,6,36272,서울시 양천구 신월2동,37.5233458,126.8465282
229,양천구,신월3동,1147058000,5,19217,서울시 양천구 신월3동,37.53300000000001,126.8273275
230,양천구,신월4동,1147059000,6,36588,서울시 양천구 신월4동,37.5219895,126.8400824
231,양천구,신월5동,1147060000,6,22565,서울시 양천구 신월5동,37.540557,126.8299859
232,양천구,신월6동,1147061000,6,16134,서울시 양천구 신월6동,37.5163837,126.8421653
233,양천구,신월7동,1147061100,5,18153,서울시 양천구 신월7동,37.5193027,126.8311042
234,양천구,신정1동,1147062000,9,30896,서울시 양천구 신정1동,37.5190637,126.8581825
235,양천구,신정2동,1147063000,8,39779,서울시 양천구 신정2동,37.5189275,126.8743632
236,양천구,신정3동,1147064000,7,17703,서울시 양천구 신정3동,37.51334,126.8423542
237,양천구,신정4동,1147065000,6,35229,서울시 양천구 신정4동,37.5253587,126.8576622
238,양천구,신정6동,1147067000,9,26358,서울시 양천구 신정6동,37.5163823,126.8696629
239,양천구,신정7동,1147068000,8,25540,서울시 양천구 신정7동,37.510422,126.8648713
240,강서구,염창동,1150051000,8,24471,서울시 강서구 염창동,37.5527315,126.8707482
241,강서구,등촌1동,1150052000,7,40198,서울시 강서구 등촌1동,37.5558118,126.8588981
242,강서구,등촌2동,1150053000,7,23770,서울시 강서구 등촌2동,37.5455631,126.8621759
243,강서구,등촌3동,1150053500,7,41147,서울시 강서구 등촌3동,37.5457853,126.8574547
244,강서구,화곡1동,1150054000,6,48716,서울시 강서구 화곡1동,37.5339049,126.840775
245,강서구,화곡2동,1150055000,6,41462,서울시 강서구 화곡2동,37.5317869,126.8544548
246,강서구,화곡3동,1150056000,7,44529,서울시 강서구 화곡3동,126.838397,37.5425058
247,강서구,화곡4동,1150057000,6,26883,서울시 강서구 화곡4동,37.534564,126.860704
248,강서구,화곡본동,1150059000,6,32359,서울시 강서구 화곡본동,37.5424076,126.8478197
249,강서구,화곡6동,1150059100,7,22427,서울시 강서구 화곡6동,37.5517566,126.8500658
250,강서구,화곡8동,1150059300,6,50017,서울시 강서구 화곡8동,37.541913,126.840023
251,강서구,가양1동,1150060300,8,7267,서울시 강서구 가양1동,37.5601758,126.8356925
252,강서구,가양2동,1150060400,7,15140,서울시 강서구 가양2동,37.5673658,126.8512874
253,강서구,가양3동,1150060500,7,16363,서울시 강서구 가양3동,37.5603668,126.8595091
254,강서구,발산1동,1150061100,7,13009,서울시 강서구 발산1동,37.5530894,126.8331507
255,강서구,우장산동,1150061500,8,32947,서울시 강서구 우장산동,37.5506026,126.84121
