,gu,dong,code,income_level,pop_density,label,address
148,도봉구,도봉1동,1132052100,5.0,2557,0,서울특별시 도봉구 도봉1동
149,도봉구,도봉2동,1132052200,6.0,34551,3,서울특별시 도봉구 도봉2동
150,도봉구,쌍문1동,1132066000,6.0,18035,0,서울특별시 도봉구 쌍문1동
151,도봉구,쌍문2동,1132067000,6.0,37083,3,서울특별시 도봉구 쌍문2동
152,도봉구,쌍문3동,1132068000,6.0,34524,3,서울특별시 도봉구 쌍문3동
153,도봉구,쌍문4동,1132068100,7.0,38098,1,서울특별시 도봉구 쌍문4동
154,도봉구,방학1동,1132069000,7.0,43559,1,서울특별시 도봉구 방학1동
155,도봉구,방학2동,1132070000,5.0,28568,3,서울특별시 도봉구 방학2동
156,도봉구,방학3동,1132071000,7.0,10902,0,서울특별시 도봉구 방학3동
157,노원구,월계1동,1135056000,6.0,20589,3,서울특별시 노원구 월계1동
158,노원구,월계2동,1135057000,6.0,14066,0,서울특별시 노원구 월계2동
159,노원구,월계3동,1135058000,7.0,27003,1,서울특별시 노원구 월계3동
160,노원구,공릉1동,1135059500,6.0,27688,3,서울특별시 노원구 공릉1동
161,노원구,공릉2동,1135060000,7.0,6022,0,서울특별시 노원구 공릉2동
162,노원구,하계1동,1135061100,8.0,18906,2,서울특별시 노원구 하계1동
163,노원구,하계2동,1135061200,7.0,45722,1,서울특별시 노원구 하계2동
164,노원구,중계본동,1135061900,8.0,13135,2,서울특별시 노원구 중계본동
165,노원구,중계1동,1135062100,8.0,44541,1,서울특별시 노원구 중계1동
166,노원구,중계4동,1135062400,7.0,12544,0,서울특별시 노원구 중계4동
167,노원구,중계2·3동,1135062500,7.0,40848,1,서울특별시 노원구 중계2·3동
168,노원구,상계1동,1135063000,7.0,7139,0,서울특별시 노원구 상계1동
169,노원구,상계2동,1135064000,7.0,34787,1,서울특별시 노원구 상계2동
170,노원구,상계3·4동,1135066500,6.0,4594,0,서울특별시 노원구 상계3·4동
171,노원구,상계5동,1135067000,6.0,57916,1,서울특별시 노원구 상계5동
